Team,Date,Score
Fukuoka SoftBank HAWKS gaming,2024-01-20,6736.752857
Fukuoka SoftBank HAWKS gaming,2024-01-20,4614.827636
Fukuoka SoftBank HAWKS gaming,2024-01-21,9718.855292
Fukuoka SoftBank HAWKS gaming,2024-01-21,11055.87778
Fukuoka SoftBank HAWKS gaming,2024-01-27,10171.14663
Fukuoka SoftBank HAWKS gaming,2024-01-27,9678.963054
Fukuoka SoftBank HAWKS gaming,2024-01-28,9355.194688
Fukuoka SoftBank HAWKS gaming,2024-01-28,9059.236304
Fukuoka SoftBank HAWKS gaming,2024-02-03,2335.575557
Fukuoka SoftBank HAWKS gaming,2024-02-03,7297.61917
Fukuoka SoftBank HAWKS gaming,2024-02-04,2128.063276
Fukuoka SoftBank HAWKS gaming,2024-02-04,7637.883985
Fukuoka SoftBank HAWKS gaming,2024-02-10,13483.11341
Fukuoka SoftBank HAWKS gaming,2024-02-10,9253.426183
Fukuoka SoftBank HAWKS gaming,2024-02-11,10101.85294
Fukuoka SoftBank HAWKS gaming,2024-02-11,7126.08901
Fukuoka SoftBank HAWKS gaming,2024-02-17,10262.07453
Fukuoka SoftBank HAWKS gaming,2024-02-17,10304.23873
Fukuoka SoftBank HAWKS gaming,2024-02-18,9270.764359
Fukuoka SoftBank HAWKS gaming,2024-02-18,11534.90686
Fukuoka SoftBank HAWKS gaming,2024-02-25,10350.96442
Fukuoka SoftBank HAWKS gaming,2024-02-25,11943.5347
Fukuoka SoftBank HAWKS gaming,2024-02-25,10502.89082
Fukuoka SoftBank HAWKS gaming,2024-03-03,8780.406319
Fukuoka SoftBank HAWKS gaming,2024-03-03,8144.814183
Fukuoka SoftBank HAWKS gaming,2024-03-03,9930.350346
Fukuoka SoftBank HAWKS gaming,2024-03-24,2932.438078
Fukuoka SoftBank HAWKS gaming,2024-03-24,9000.661038
Fukuoka SoftBank HAWKS gaming,2024-03-24,3997.629911
Fukuoka SoftBank HAWKS gaming,2024-03-24,10877.16916
Fukuoka SoftBank HAWKS gaming,2024-03-24,5398.245019
Fukuoka SoftBank HAWKS gaming,2024-03-28,11085.03782
Fukuoka SoftBank HAWKS gaming,2024-03-28,3004.88156
Fukuoka SoftBank HAWKS gaming,2024-03-28,10154.30863
Fukuoka SoftBank HAWKS gaming,2024-03-28,2566.999621
Fukuoka SoftBank HAWKS gaming,2024-03-28,13190.45209
Fukuoka SoftBank HAWKS gaming,2024-03-31,10360.35125
Fukuoka SoftBank HAWKS gaming,2024-03-31,4295.337121
Fukuoka SoftBank HAWKS gaming,2024-03-31,5725.186827
Fukuoka SoftBank HAWKS gaming,2024-03-31,10464.7638
Fukuoka SoftBank HAWKS gaming,2024-03-31,10124.56172
Fukuoka SoftBank HAWKS gaming,2024-04-06,9085.917296
Fukuoka SoftBank HAWKS gaming,2024-04-06,10133.34798
Fukuoka SoftBank HAWKS gaming,2024-04-06,10158.28642
Fukuoka SoftBank HAWKS gaming,2024-04-07,3030.172129
Fukuoka SoftBank HAWKS gaming,2024-04-07,0.0
Fukuoka SoftBank HAWKS gaming,2024-04-07,1766.524895
Fukuoka SoftBank HAWKS gaming,2024-06-07,8898.29128
Fukuoka SoftBank HAWKS gaming,2024-06-07,10762.50473
Fukuoka SoftBank HAWKS gaming,2024-06-08,9003.624642
Fukuoka SoftBank HAWKS gaming,2024-06-08,10519.44577
Fukuoka SoftBank HAWKS gaming,2024-06-15,10728.79501
Fukuoka SoftBank HAWKS gaming,2024-06-15,8146.588382
Fukuoka SoftBank HAWKS gaming,2024-06-16,9203.981372
Fukuoka SoftBank HAWKS gaming,2024-06-16,8790.58367
Fukuoka SoftBank HAWKS gaming,2024-06-22,9257.615367
Fukuoka SoftBank HAWKS gaming,2024-06-22,8094.00246
Fukuoka SoftBank HAWKS gaming,2024-06-23,10801.05989
Fukuoka SoftBank HAWKS gaming,2024-06-23,10792.29137
Fukuoka SoftBank HAWKS gaming,2024-06-29,11541.85603
Fukuoka SoftBank HAWKS gaming,2024-06-29,3643.35255
Fukuoka SoftBank HAWKS gaming,2024-06-30,9884.204174
Fukuoka SoftBank HAWKS gaming,2024-06-30,9789.256028
Fukuoka SoftBank HAWKS gaming,2024-07-13,10051.43529
Fukuoka SoftBank HAWKS gaming,2024-07-13,10637.25584
Fukuoka SoftBank HAWKS gaming,2024-07-14,6382.096281
Fukuoka SoftBank HAWKS gaming,2024-07-14,10897.22195
Fukuoka SoftBank HAWKS gaming,2024-07-21,6343.195543
Fukuoka SoftBank HAWKS gaming,2024-07-21,10174.05465
Fukuoka SoftBank HAWKS gaming,2024-07-21,12090.18802
Fukuoka SoftBank HAWKS gaming,2024-07-28,9220.592535
Fukuoka SoftBank HAWKS gaming,2024-07-28,6179.88602
Fukuoka SoftBank HAWKS gaming,2024-07-28,9964.173915
Fukuoka SoftBank HAWKS gaming,2024-08-18,2165.489783
Fukuoka SoftBank HAWKS gaming,2024-08-18,9638.509558
Fukuoka SoftBank HAWKS gaming,2024-08-18,7660.749917
Fukuoka SoftBank HAWKS gaming,2024-08-18,11890.07196
Fukuoka SoftBank HAWKS gaming,2024-08-18,10750.6917
Fukuoka SoftBank HAWKS gaming,2024-08-23,5133.815367
Fukuoka SoftBank HAWKS gaming,2024-08-23,5217.987911
Fukuoka SoftBank HAWKS gaming,2024-08-23,2683.413381
Fukuoka SoftBank HAWKS gaming,2024-08-31,3616.177331
Fukuoka SoftBank HAWKS gaming,2024-08-31,9418.101909
Fukuoka SoftBank HAWKS gaming,2024-08-31,8291.756654
Fukuoka SoftBank HAWKS gaming,2024-08-31,9992.098293
Fukuoka SoftBank HAWKS gaming,2024-09-01,3773.421531
Fukuoka SoftBank HAWKS gaming,2024-09-01,2998.941306
Fukuoka SoftBank HAWKS gaming,2024-09-01,10075.43755
Fukuoka SoftBank HAWKS gaming,2024-09-01,3722.989765
